seq,key,time,price,size,sequence,bid,ask,last,bidSize,askSize,lastSize,quoteTime,tradeTime,level,bidIncr,askIncr,TimeDate,TradeDate,QuoteDate
49819,QQQ,1603323661404,283.68,40,127140,283.67,283.74,0,0,0,0,0,0,2,0,0,10/21/2020 7:41:01 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49820,QQQ,1603323666899,283.73,1000,127141,283.73,283.75,0,0,0,0,0,0,2,0,0,10/21/2020 7:41:06 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49821,QQQ,1603323666899,283.73,600,127142,283.73,283.75,0,0,0,0,0,0,2,0,0,10/21/2020 7:41:06 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49822,QQQ,1603323667475,283.64,50,127143,283.74,283.78,0,0,0,0,0,0,1,0,0,10/21/2020 7:41:07 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49823,QQQ,1603323669970,283.74,53,127144,283.68,283.74,0,0,0,0,0,0,4,0,0,10/21/2020 7:41:09 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49824,QQQ,1603323671638,283.64,450,127145,283.67,283.72,0,0,0,0,0,0,1,0,0,10/21/2020 7:41:11 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49825,QQQ,1603323671638,283.62,330,127146,283.67,283.72,0,0,0,0,0,0,1,0,0,10/21/2020 7:41:11 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49826,QQQ,1603323672291,283.6,50,127147,283.57,283.64,0,0,0,0,0,0,3,0,0,10/21/2020 7:41:12 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49827,QQQ,1603323676237,283.65,100,127148,283.58,283.68,0,0,0,0,0,0,3,0,0,10/21/2020 7:41:16 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49828,QQQ,1603323680390,283.64,200,127149,283.57,283.65,0,0,0,0,0,0,4,0,0,10/21/2020 7:41:20 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49829,QQQ,1603323680390,283.65,200,127150,283.57,283.65,0,0,0,0,0,0,4,0,0,10/21/2020 7:41:20 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49830,QQQ,1603323680390,283.64,200,127151,283.57,283.65,0,0,0,0,0,0,4,0,0,10/21/2020 7:41:20 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49831,QQQ,1603323680390,283.64,200,127152,283.57,283.65,0,0,0,0,0,0,4,0,0,10/21/2020 7:41:20 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
